Model,Train_Accuracy,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_AUC,CV_F1_mean,CV_F1_std
Logistic Regression,0.9975,0.9975,1.0,0.95,0.9743589743589743,1.0,0.9452873563218389,0.046647977685740825
Decision Tree,1.0,0.9725,0.9090909090909091,0.5,0.6451612903225806,0.7486842105263157,0.3938704482884006,0.11375267486923701
Random Forest,1.0,0.96,1.0,0.2,0.3333333333333333,0.9907894736842104,0.32022266003690153,0.14680220661859286
Gradient Boosting,1.0,0.9775,1.0,0.55,0.7096774193548387,0.9834210526315789,0.6242962962962963,0.12113672477390099
XGBoost,1.0,0.9775,0.9230769230769231,0.6,0.7272727272727273,0.994078947368421,0.7693998849171264,0.10891148346759515
Support Vector,1.0,0.99,0.9,0.9,0.9,0.9994736842105263,0.9328587319243604,0.022519824353090728
